"Participant","Choice","Stress","Relax","Baseline","MostChoice","State","MajorityState","profile","StressPerc","RelaxPerc","TotalPings","P_TotalStress","P_TotalRelax","P_TotalBase","P_TotalPings","TotalStressPerc","TotalRelaxPerc","Trial","valence.png","arousal.png","control.png","NaturalInt","NaturalStoryDec","InterrogatorFeel","UnderstandAsCharacter","ImagineInSitu","InHead","ConsequenceCare","Absorbed","ReallyInside","FullAttention","immersionsums","identificationsums","systemsums","StressNorm","non_baseline_percentage"
2,"Honest",10,3,89,"Mixed","Stressed","Mixed","MixedMixed",9.80392156862745,2.94117647058824,102,25,15,241,281,8.89679715302491,5.33807829181495,3,7,7,5,5,6,6,4,4,5,7,6,6,6,18,20,17,-0.768683274021352,14.2348754448399
2,"Defensive",10,12,111,"Mixed","Relaxed","Mixed","MixedMixed",7.5187969924812,9.02255639097744,133,25,15,241,281,8.89679715302491,5.33807829181495,4,7,7,5,5,6,6,4,4,5,7,6,6,6,18,20,17,-0.768683274021352,14.2348754448399
20,"Defensive",1,0,8,"Mixed","Stressed","Relaxed","MixedRelaxed",11.1111111111111,0,9,12,15,250,277,4.33212996389892,5.41516245487365,1,8,6,4,4,5,3,7,5,6,7,7,6,7,20,25,12,-0.859205776173285,9.74729241877256
20,"Honest",3,3,32,"Mixed","Relaxed","Relaxed","MixedRelaxed",7.89473684210526,7.89473684210526,38,12,15,250,277,4.33212996389892,5.41516245487365,2,8,6,4,4,5,3,7,5,6,7,7,6,7,20,25,12,-0.859205776173285,9.74729241877256
20,"Defensive",4,5,92,"Mixed","Relaxed","Relaxed","MixedRelaxed",3.96039603960396,4.95049504950495,101,12,15,250,277,4.33212996389892,5.41516245487365,3,8,6,4,4,5,3,7,5,6,7,7,6,7,20,25,12,-0.859205776173285,9.74729241877256
20,"Honest",4,7,118,"Mixed","Relaxed","Relaxed","MixedRelaxed",3.10077519379845,5.42635658914729,129,12,15,250,277,4.33212996389892,5.41516245487365,4,8,6,4,4,5,3,7,5,6,7,7,6,7,20,25,12,-0.859205776173285,9.74729241877256
21,"Defensive",1,1,8,"Mixed","Relaxed","Stressed","MixedStressed",10,10,10,51,11,229,291,17.5257731958763,3.78006872852234,1,8,6,3,7,6,4,7,6,6,5,6,5,7,18,24,17,-0.611683848797251,21.3058419243986
21,"Defensive",6,2,30,"Mixed","Stressed","Stressed","MixedStressed",15.7894736842105,5.26315789473684,38,51,11,229,291,17.5257731958763,3.78006872852234,2,8,6,3,7,6,4,7,6,6,5,6,5,7,18,24,17,-0.611683848797251,21.3058419243986
21,"Honest",19,4,84,"Mixed","Stressed","Stressed","MixedStressed",17.7570093457944,3.73831775700935,107,51,11,229,291,17.5257731958763,3.78006872852234,3,8,6,3,7,6,4,7,6,6,5,6,5,7,18,24,17,-0.611683848797251,21.3058419243986
21,"Honest",25,4,107,"Mixed","Stressed","Stressed","MixedStressed",18.3823529411765,2.94117647058824,136,51,11,229,291,17.5257731958763,3.78006872852234,4,8,6,3,7,6,4,7,6,6,5,6,5,7,18,24,17,-0.611683848797251,21.3058419243986
